"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","150001","55126","205127","19","20.88","20.46","10.49"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","117774","47042","164816","15","16.78","16.44","8.43"
"12","12. Politinė partija „Nemuno Aušra“","34898","129257","28189","157446","14","16.03","15.7","8.05"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","74235","19303","93538","8","9.52","9.33","4.78"
"14","14. Liberalų sąjūdis","34656","57600","16176","73776","7","7.51","7.36","3.77"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","58089","14750","72839","7","7.41","7.26","3.73"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","31847","9283","41130","0","4.19","4.1","2.1"
"16","16. Laisvės partija","34654","27296","12951","40247","0","4.1","4.01","2.06"
"5","5. Lietuvos liaudies partija","34662","22570","4064","26634","0","2.71","2.66","1.36"
"2","2. Nacionalinis susivienijimas","34672","21210","5132","26342","0","2.68","2.63","1.35"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","18220","4262","22482","0","2.29","2.24","1.15"
"6","6. Lietuvos regionų partija","34664","15206","4930","20136","0","2.05","2.01","1.03"
"4","4. Lietuvos žaliųjų partija","34670","11377","4710","16087","0","1.64","1.6","0.82"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","11126","3242","14368","0","1.46","1.43","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","5200","2156","7356","0","0.75","0.73","0.38"
NA,NA,NA,"751008","231316","982324","70","100","97.98","50.25"
