"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","94637","36841","131478","20","22.97","22.47","11.23"
"12","12. Politinė partija „Nemuno Aušra“","34898","81686","17963","99649","15","17.41","17.03","8.51"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","56447","24860","81307","13","14.2","13.89","6.94"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","42978","12080","55058","9","9.62","9.41","4.7"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","36858","9863","46721","7","8.16","7.98","3.99"
"14","14. Liberalų sąjūdis","34656","28865","8719","37584","6","6.57","6.42","3.21"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","19145","6192","25337","0","4.43","4.33","2.16"
"16","16. Laisvės partija","34654","11949","6732","18681","0","3.26","3.19","1.59"
"5","5. Lietuvos liaudies partija","34662","12690","2585","15275","0","2.67","2.61","1.3"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","10867","2830","13697","0","2.39","2.34","1.17"
"6","6. Lietuvos regionų partija","34664","9779","3219","12998","0","2.27","2.22","1.11"
"2","2. Nacionalinis susivienijimas","34672","10223","2676","12899","0","2.25","2.2","1.1"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","6890","2172","9062","0","1.58","1.55","0.77"
"4","4. Lietuvos žaliųjų partija","34670","6122","2828","8950","0","1.56","1.53","0.76"
"10","10. Partija „Laisvė ir teisingumas“","34674","2524","1242","3766","0","0.66","0.64","0.32"
NA,NA,NA,"431660","140802","572462","70","100","97.83","48.88"
