"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","176115","64151","240266","18","19.74","19.36","10.08"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","159210","63765","222975","17","18.32","17.96","9.35"
"12","12. Politinė partija „Nemuno Aušra“","34898","151877","34249","186126","14","15.29","14.99","7.81"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","91037","23607","114644","8","9.42","9.24","4.81"
"14","14. Liberalų sąjūdis","34656","74751","20773","95524","7","7.85","7.7","4.01"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","69321","17861","87182","6","7.16","7.02","3.66"
"16","16. Laisvės partija","34654","38020","17834","55854","0","4.59","4.5","2.34"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","37870","10397","48267","0","3.96","3.89","2.02"
"2","2. Nacionalinis susivienijimas","34672","28646","6985","35631","0","2.93","2.87","1.49"
"5","5. Lietuvos liaudies partija","34662","27572","5183","32755","0","2.69","2.64","1.37"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","22016","5290","27306","0","2.24","2.2","1.15"
"6","6. Lietuvos regionų partija","34664","17631","5894","23525","0","1.93","1.9","0.99"
"4","4. Lietuvos žaliųjų partija","34670","14673","6133","20806","0","1.71","1.68","0.87"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","13101","4065","17166","0","1.41","1.38","0.72"
"10","10. Partija „Laisvė ir teisingumas“","34674","6610","2719","9329","0","0.77","0.75","0.39"
NA,NA,NA,"928450","288906","1217356","70","100","98.07","51.06"
