"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","45664","19858","65522","22","25.24","24.66","11.96"
"12","12. Politinė partija „Nemuno Aušra“","34898","40166","8948","49114","17","18.92","18.49","8.96"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","20453","9969","30422","10","11.72","11.45","5.55"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","19190","5877","25067","8","9.66","9.43","4.58"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","17995","5196","23191","8","8.93","8.73","4.23"
"14","14. Liberalų sąjūdis","34656","11166","3571","14737","5","5.68","5.55","2.69"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","6817","2709","9526","0","3.67","3.59","1.74"
"6","6. Lietuvos regionų partija","34664","5286","1848","7134","0","2.75","2.69","1.3"
"16","16. Laisvės partija","34654","4192","2606","6798","0","2.62","2.56","1.24"
"5","5. Lietuvos liaudies partija","34662","5267","1215","6482","0","2.5","2.44","1.18"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","4780","1453","6233","0","2.4","2.35","1.14"
"2","2. Nacionalinis susivienijimas","34672","3828","1054","4882","0","1.88","1.84","0.89"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","3394","1182","4576","0","1.76","1.72","0.84"
"4","4. Lietuvos žaliųjų partija","34670","2666","1340","4006","0","1.54","1.51","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","1193","712","1905","0","0.73","0.72","0.35"
NA,NA,NA,"192057","67538","259595","70","100","97.7","47.38"
