"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","26182","12190","38372","24","26.28","25.66","12.35"
"12","12. Politinė partija „Nemuno Aušra“","34898","22836","5173","28009","18","19.18","18.73","9.01"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","9972","5338","15310","10","10.49","10.24","4.93"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","10622","3602","14224","9","9.74","9.51","4.58"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","10527","3153","13680","9","9.37","9.15","4.4"
"14","14. Liberalų sąjūdis","34656","5413","1909","7322","0","5.02","4.9","2.36"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","3940","1688","5628","0","3.85","3.76","1.81"
"6","6. Lietuvos regionų partija","34664","3165","1097","4262","0","2.92","2.85","1.37"
"16","16. Laisvės partija","34654","2130","1391","3521","0","2.41","2.35","1.13"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","2633","884","3517","0","2.41","2.35","1.13"
"5","5. Lietuvos liaudies partija","34662","2751","718","3469","0","2.38","2.32","1.12"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","1968","729","2697","0","1.85","1.8","0.87"
"2","2. Nacionalinis susivienijimas","34672","1903","566","2469","0","1.69","1.65","0.79"
"4","4. Lietuvos žaliųjų partija","34670","1506","783","2289","0","1.57","1.53","0.74"
"10","10. Partija „Laisvė ir teisingumas“","34674","761","470","1231","0","0.84","0.82","0.4"
NA,NA,NA,"106309","39691","146000","70","100","97.65","46.99"
