"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","35236","16015","51251","22","25.73","25.13","12.14"
"12","12. Politinė partija „Nemuno Aušra“","34898","30997","7038","38035","17","19.09","18.65","9.01"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","14567","7319","21886","10","10.99","10.73","5.18"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","14780","4780","19560","8","9.82","9.59","4.63"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","14181","4173","18354","8","9.21","9","4.35"
"14","14. Liberalų sąjūdis","34656","7858","2669","10527","5","5.28","5.16","2.49"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","5137","2198","7335","0","3.68","3.6","1.74"
"6","6. Lietuvos regionų partija","34664","4215","1531","5746","0","2.88","2.82","1.36"
"5","5. Lietuvos liaudies partija","34662","4006","980","4986","0","2.5","2.44","1.18"
"16","16. Laisvės partija","34654","3055","1906","4961","0","2.49","2.43","1.17"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","3645","1189","4834","0","2.43","2.37","1.14"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","2661","942","3603","0","1.81","1.77","0.85"
"2","2. Nacionalinis susivienijimas","34672","2751","803","3554","0","1.78","1.74","0.84"
"4","4. Lietuvos žaliųjų partija","34670","2036","1035","3071","0","1.54","1.51","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","915","581","1496","0","0.75","0.73","0.35"
NA,NA,NA,"146040","53159","199199","70","100","97.67","47.18"
