"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","0","0","0","0","0","0","0"
"2","2. Nacionalinis susivienijimas","34672","0","0","0","0","0","0","0"
"3","3. Lietuvos socialdemokratų partija","34666","0","0","0","0","0","0","0"
"4","4. Lietuvos žaliųjų partija","34670","0","0","0","0","0","0","0"
"5","5. Lietuvos liaudies partija","34662","0","0","0","0","0","0","0"
"6","6. Lietuvos regionų partija","34664","0","0","0","0","0","0","0"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","0","0","0","0","0","0","0"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","0","0","0","0","0","0","0"
"10","10. Partija „Laisvė ir teisingumas“","34674","0","0","0","0","0","0","0"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","0","0","0","0","0","0","0"
"12","12. Politinė partija „Nemuno Aušra“","34898","0","0","0","0","0","0","0"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","0","0","0","0","0","0","0"
"14","14. Liberalų sąjūdis","34656","0","0","0","0","0","0","0"
"16","16. Laisvės partija","34654","0","0","0","0","0","0","0"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","0","0","0","0","0","0","0"
NA,NA,NA,"0","0","0","0","0","0","0"
