"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","154525","56418","210943","18","20.63","20.21","10.38"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","124960","49838","174798","15","17.09","16.75","8.6"
"12","12. Politinė partija „Nemuno Aušra“","34898","133186","28963","162149","14","15.85","15.54","7.98"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","77114","19949","97063","9","9.49","9.3","4.78"
"14","14. Liberalų sąjūdis","34656","60665","16987","77652","7","7.59","7.44","3.82"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","59952","15117","75069","7","7.34","7.19","3.7"
"16","16. Laisvės partija","34654","29218","13773","42991","0","4.2","4.12","2.12"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","33456","9509","42965","0","4.2","4.12","2.11"
"2","2. Nacionalinis susivienijimas","34672","22538","5429","27967","0","2.73","2.68","1.38"
"5","5. Lietuvos liaudies partija","34662","23587","4212","27799","0","2.72","2.66","1.37"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","18930","4384","23314","0","2.28","2.23","1.15"
"6","6. Lietuvos regionų partija","34664","15592","5042","20634","0","2.02","1.98","1.02"
"4","4. Lietuvos žaliųjų partija","34670","11955","4938","16893","0","1.65","1.62","0.83"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","11487","3327","14814","0","1.45","1.42","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","5480","2216","7696","0","0.75","0.74","0.38"
NA,NA,NA,"782645","240102","1022747","70","100","98","50.34"
