"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","137299","50842","188141","19","21.39","20.95","10.66"
"12","12. Politinė partija „Nemuno Aušra“","34898","118909","25671","144580","15","16.44","16.1","8.19"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","101027","40739","141766","14","16.12","15.79","8.04"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","66671","17442","84113","9","9.57","9.37","4.77"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","53311","13689","67000","7","7.62","7.46","3.8"
"14","14. Liberalų sąjūdis","34656","49911","14143","64054","6","7.28","7.13","3.63"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","28241","8473","36714","0","4.18","4.09","2.08"
"16","16. Laisvės partija","34654","22776","11235","34011","0","3.87","3.79","1.93"
"5","5. Lietuvos liaudies partija","34662","20077","3697","23774","0","2.7","2.65","1.35"
"2","2. Nacionalinis susivienijimas","34672","18255","4425","22680","0","2.58","2.53","1.29"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","16512","3941","20453","0","2.33","2.28","1.16"
"6","6. Lietuvos regionų partija","34664","13813","4402","18215","0","2.07","2.03","1.03"
"4","4. Lietuvos žaliųjų partija","34670","9965","4243","14208","0","1.62","1.58","0.81"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","10174","2959","13133","0","1.49","1.46","0.74"
"10","10. Partija „Laisvė ir teisingumas“","34674","4564","1968","6532","0","0.74","0.73","0.37"
NA,NA,NA,"671505","207869","879374","70","100","97.94","49.84"
