"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","68596","28172","96768","21","24.06","23.52","11.57"
"12","12. Politinė partija „Nemuno Aušra“","34898","60021","13254","73275","16","18.22","17.81","8.76"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","35918","16557","52475","11","13.05","12.75","6.28"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","29863","8789","38652","8","9.61","9.39","4.62"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","26980","7485","34465","8","8.57","8.38","4.12"
"14","14. Liberalų sąjūdis","34656","19086","5910","24996","6","6.21","6.08","2.99"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","11920","4129","16049","0","3.99","3.9","1.92"
"16","16. Laisvės partija","34654","7456","4540","11996","0","2.98","2.92","1.43"
"5","5. Lietuvos liaudies partija","34662","8457","1843","10300","0","2.56","2.5","1.23"
"6","6. Lietuvos regionų partija","34664","7280","2464","9744","0","2.42","2.37","1.17"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","7529","2073","9602","0","2.39","2.33","1.15"
"2","2. Nacionalinis susivienijimas","34672","6503","1762","8265","0","2.05","2.01","0.99"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","4987","1668","6655","0","1.65","1.62","0.8"
"4","4. Lietuvos žaliųjų partija","34670","4173","2046","6219","0","1.55","1.51","0.74"
"10","10. Partija „Laisvė ir teisingumas“","34674","1804","980","2784","0","0.69","0.68","0.33"
NA,NA,NA,"300573","101672","402245","70","100","97.76","48.1"
