"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","161596","58867","220463","18","20.42","20.01","10.33"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","134922","53606","188528","16","17.46","17.12","8.83"
"12","12. Politinė partija „Nemuno Aušra“","34898","138976","30314","169290","14","15.68","15.37","7.93"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","81110","21024","102134","8","9.46","9.27","4.78"
"14","14. Liberalų sąjūdis","34656","64730","17964","82694","7","7.66","7.51","3.87"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","62609","15870","78479","7","7.27","7.12","3.68"
"16","16. Laisvės partija","34654","31795","14764","46559","0","4.31","4.23","2.18"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","35157","9795","44952","0","4.16","4.08","2.11"
"2","2. Nacionalinis susivienijimas","34672","24067","5749","29816","0","2.76","2.71","1.4"
"5","5. Lietuvos liaudies partija","34662","24933","4491","29424","0","2.73","2.67","1.38"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","19928","4598","24526","0","2.27","2.23","1.15"
"6","6. Lietuvos regionų partija","34664","16126","5202","21328","0","1.98","1.94","1"
"4","4. Lietuvos žaliųjų partija","34670","12700","5220","17920","0","1.66","1.63","0.84"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","11952","3504","15456","0","1.43","1.4","0.72"
"10","10. Partija „Laisvė ir teisingumas“","34674","5788","2333","8121","0","0.75","0.74","0.38"
NA,NA,NA,"826389","253301","1079690","70","100","98.02","50.58"
