"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","17988","8216","26204","25","26.76","26.14","12.57"
"12","12. Politinė partija „Nemuno Aušra“","34898","15408","3466","18874","18","19.27","18.83","9.05"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","6406","3514","9920","9","10.13","9.9","4.76"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","7352","2135","9487","9","9.69","9.47","4.55"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","6923","2331","9254","9","9.45","9.23","4.44"
"14","14. Liberalų sąjūdis","34656","3606","1285","4891","0","4.99","4.88","2.35"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","2677","1131","3808","0","3.89","3.8","1.83"
"6","6. Lietuvos regionų partija","34664","1962","617","2579","0","2.63","2.57","1.24"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","1824","587","2411","0","2.46","2.41","1.16"
"16","16. Laisvės partija","34654","1419","939","2358","0","2.41","2.35","1.13"
"5","5. Lietuvos liaudies partija","34662","1842","487","2329","0","2.38","2.32","1.12"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","1297","476","1773","0","1.81","1.77","0.85"
"2","2. Nacionalinis susivienijimas","34672","1239","380","1619","0","1.65","1.62","0.78"
"4","4. Lietuvos žaliųjų partija","34670","1044","514","1558","0","1.59","1.55","0.75"
"10","10. Partija „Laisvė ir teisingumas“","34674","536","331","867","0","0.89","0.87","0.42"
NA,NA,NA,"71523","26409","97932","70","100","97.71","46.96"
