"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","10347","4791","15138","25","26.93","26.31","12.72"
"12","12. Politinė partija „Nemuno Aušra“","34898","8885","1929","10814","18","19.24","18.79","9.09"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","3559","2062","5621","9","10","9.77","4.72"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","4209","1235","5444","9","9.69","9.46","4.58"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","3808","1307","5115","9","9.1","8.89","4.3"
"14","14. Liberalų sąjūdis","34656","2054","772","2826","0","5.03","4.91","2.38"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","1710","747","2457","0","4.37","4.27","2.06"
"6","6. Lietuvos regionų partija","34664","1103","337","1440","0","2.56","2.5","1.21"
"16","16. Laisvės partija","34654","862","571","1433","0","2.55","2.49","1.2"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","1051","349","1400","0","2.49","2.43","1.18"
"5","5. Lietuvos liaudies partija","34662","1015","274","1289","0","2.29","2.24","1.08"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","737","271","1008","0","1.79","1.75","0.85"
"4","4. Lietuvos žaliųjų partija","34670","606","310","916","0","1.63","1.59","0.77"
"2","2. Nacionalinis susivienijimas","34672","669","213","882","0","1.57","1.53","0.74"
"10","10. Partija „Laisvė ir teisingumas“","34674","280","146","426","0","0.76","0.74","0.36"
NA,NA,NA,"40895","15314","56209","70","100","97.69","47.24"
