"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","80254","31960","112214","21","23.46","22.95","11.39"
"12","12. Politinė partija „Nemuno Aušra“","34898","70296","15513","85809","16","17.94","17.55","8.71"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","44393","20078","64471","12","13.48","13.18","6.54"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","35936","10211","46147","8","9.65","9.44","4.68"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","31576","8663","40239","7","8.41","8.23","4.08"
"14","14. Liberalų sąjūdis","34656","23387","7103","30490","6","6.38","6.24","3.09"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","15340","5113","20453","0","4.28","4.18","2.08"
"16","16. Laisvės partija","34654","9230","5407","14637","0","3.06","2.99","1.49"
"5","5. Lietuvos liaudies partija","34662","10322","2149","12471","0","2.61","2.55","1.27"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","9047","2445","11492","0","2.4","2.35","1.17"
"6","6. Lietuvos regionų partija","34664","8410","2804","11214","0","2.34","2.29","1.14"
"2","2. Nacionalinis susivienijimas","34672","8081","2165","10246","0","2.14","2.1","1.04"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","5861","1918","7779","0","1.63","1.59","0.79"
"4","4. Lietuvos žaliųjų partija","34670","4981","2373","7354","0","1.54","1.5","0.75"
"10","10. Partija „Laisvė ir teisingumas“","34674","2102","1104","3206","0","0.67","0.66","0.33"
NA,NA,NA,"359216","119006","478222","70","100","97.8","48.53"
