"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","105295","40560","145855","20","22.56","22.08","11.08"
"12","12. Politinė partija „Nemuno Aušra“","34898","91347","20103","111450","15","17.24","16.87","8.47"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","65976","28485","94461","13","14.61","14.3","7.18"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","48900","13458","62358","9","9.65","9.44","4.74"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","41170","10919","52089","7","8.06","7.88","3.96"
"14","14. Liberalų sąjūdis","34656","33765","10013","43778","6","6.77","6.63","3.33"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","21202","6702","27904","0","4.32","4.22","2.12"
"16","16. Laisvės partija","34654","14089","7711","21800","0","3.37","3.3","1.66"
"5","5. Lietuvos liaudies partija","34662","14508","2833","17341","0","2.68","2.62","1.32"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","12159","3128","15287","0","2.36","2.31","1.16"
"2","2. Nacionalinis susivienijimas","34672","11936","3055","14991","0","2.32","2.27","1.14"
"6","6. Lietuvos regionų partija","34664","10831","3555","14386","0","2.23","2.18","1.09"
"4","4. Lietuvos žaliųjų partija","34670","7058","3174","10232","0","1.58","1.55","0.78"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","7704","2370","10074","0","1.56","1.52","0.77"
"10","10. Partija „Laisvė ir teisingumas“","34674","3023","1424","4447","0","0.69","0.67","0.34"
NA,NA,NA,"488963","157490","646453","70","100","97.85","49.11"
