"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","56194","23669","79863","22","24.72","24.16","11.79"
"12","12. Politinė partija „Nemuno Aušra“","34898","49006","10705","59711","16","18.48","18.06","8.82"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","26940","12893","39833","11","12.33","12.05","5.88"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","23857","7167","31024","8","9.6","9.38","4.58"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","21941","6166","28107","8","8.7","8.5","4.15"
"14","14. Liberalų sąjūdis","34656","14645","4575","19220","5","5.95","5.81","2.84"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","9531","3638","13169","0","4.08","3.98","1.94"
"16","16. Laisvės partija","34654","5540","3459","8999","0","2.79","2.72","1.33"
"6","6. Lietuvos regionų partija","34664","6190","2142","8332","0","2.58","2.52","1.23"
"5","5. Lietuvos liaudies partija","34662","6613","1527","8140","0","2.52","2.46","1.2"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","6004","1729","7733","0","2.39","2.34","1.14"
"2","2. Nacionalinis susivienijimas","34672","4897","1339","6236","0","1.93","1.89","0.92"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","4142","1396","5538","0","1.71","1.68","0.82"
"4","4. Lietuvos žaliųjų partija","34670","3317","1639","4956","0","1.53","1.5","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","1435","822","2257","0","0.7","0.68","0.33"
NA,NA,NA,"240252","82866","323118","70","100","97.74","47.72"
