"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","157732","57486","215218","18","20.6","20.19","10.39"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","128911","51027","179938","15","17.22","16.88","8.69"
"12","12. Politinė partija „Nemuno Aušra“","34898","135619","29453","165072","14","15.8","15.48","7.97"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","78787","20326","99113","9","9.49","9.3","4.79"
"14","14. Liberalų sąjūdis","34656","62388","17340","79728","7","7.63","7.48","3.85"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","61017","15365","76382","7","7.31","7.16","3.69"
"16","16. Laisvės partija","34654","30089","14106","44195","0","4.23","4.15","2.13"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","33814","9547","43361","0","4.15","4.07","2.09"
"2","2. Nacionalinis susivienijimas","34672","23161","5529","28690","0","2.75","2.69","1.39"
"5","5. Lietuvos liaudies partija","34662","23993","4269","28262","0","2.71","2.65","1.36"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","19340","4461","23801","0","2.28","2.23","1.15"
"6","6. Lietuvos regionų partija","34664","15820","5097","20917","0","2","1.96","1.01"
"4","4. Lietuvos žaliųjų partija","34670","12223","5041","17264","0","1.65","1.62","0.83"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","11648","3376","15024","0","1.44","1.41","0.73"
"10","10. Partija „Laisvė ir teisingumas“","34674","5562","2248","7810","0","0.75","0.73","0.38"
NA,NA,NA,"800104","244671","1044775","70","100","98","50.45"
