"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","143347","52920","196267","19","21.17","20.73","10.58"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","108759","43419","152178","15","16.41","16.08","8.21"
"12","12. Politinė partija „Nemuno Aušra“","34898","123843","26911","150754","14","16.26","15.93","8.13"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","70001","18262","88263","8","9.52","9.32","4.76"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","55541","14132","69673","7","7.51","7.36","3.76"
"14","14. Liberalų sąjūdis","34656","53260","14955","68215","7","7.36","7.21","3.68"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","30165","8980","39145","0","4.22","4.14","2.11"
"16","16. Laisvės partija","34654","24848","11987","36835","0","3.97","3.89","1.99"
"5","5. Lietuvos liaudies partija","34662","21215","3860","25075","0","2.7","2.65","1.35"
"2","2. Nacionalinis susivienijimas","34672","19651","4737","24388","0","2.63","2.58","1.32"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","17301","4090","21391","0","2.31","2.26","1.15"
"6","6. Lietuvos regionų partija","34664","14639","4739","19378","0","2.09","2.05","1.05"
"4","4. Lietuvos žaliųjų partija","34670","10657","4456","15113","0","1.63","1.6","0.82"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","10630","3072","13702","0","1.48","1.45","0.74"
"10","10. Partija „Laisvė ir teisingumas“","34674","4843","2046","6889","0","0.74","0.73","0.37"
NA,NA,NA,"708700","218566","927266","70","100","97.96","50.01"
