"saraso_numeris","partija","rorg_id","balsadezese","pastu","is_viso","mandatu_skaicius","proc_nuo_gal_biul","proc_nuo_dal_rinkeju","proc_nuo_rinkeju"
"3","3. Lietuvos socialdemokratų partija","34666","126328","47314","173642","19","21.67","21.22","10.76"
"12","12. Politinė partija „Nemuno Aušra“","34898","109678","23870","133548","15","16.67","16.32","8.27"
"13","13. Tėvynės sąjunga-Lietuvos krikščionys demokratai","34686","89714","36709","126423","14","15.78","15.45","7.83"
"11","11. Demokratų sąjunga „Vardan Lietuvos“","34644","60546","16059","76605","9","9.56","9.36","4.74"
"8","8. Lietuvos valstiečių ir žaliųjų sąjunga","34668","49276","12817","62093","7","7.75","7.59","3.85"
"14","14. Liberalų sąjūdis","34656","44617","12834","57451","6","7.17","7.02","3.56"
"17","17. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga","34660","25663","7676","33339","0","4.16","4.07","2.06"
"16","16. Laisvės partija","34654","19840","10070","29910","0","3.73","3.65","1.85"
"5","5. Lietuvos liaudies partija","34662","18270","3433","21703","0","2.71","2.65","1.34"
"2","2. Nacionalinis susivienijimas","34672","16232","3984","20216","0","2.52","2.47","1.25"
"9","9. Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)","35124","14990","3680","18670","0","2.33","2.28","1.16"
"6","6. Lietuvos regionų partija","34664","12888","4132","17020","0","2.12","2.08","1.05"
"4","4. Lietuvos žaliųjų partija","34670","9031","3903","12934","0","1.61","1.58","0.8"
"1","1. Tautos ir teisingumo sąjunga (centristai, tautininkai)","34684","9313","2765","12078","0","1.51","1.48","0.75"
"10","10. Partija „Laisvė ir teisingumas“","34674","3964","1736","5700","0","0.71","0.7","0.35"
NA,NA,NA,"610350","190982","801332","70","100","97.92","49.63"
